scripts/audit-data.ts(82,25): error TS2304: Cannot find name 'stats'.
scripts/audit-data.ts(83,29): error TS2304: Cannot find name 'stats'.
scripts/audit-data.ts(84,29): error TS2304: Cannot find name 'stats'.
scripts/check-business-data.ts(2,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/check-journal.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/debug-db-connection.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/debug-get-trades.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/debug-old-trades.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/debug-old-trades.ts(30,51): error TS2339: Property 'screenshot' does not exist on type '{ id: any; date: any; data: any; }'.
scripts/debug-old-trades.ts(30,67): error TS2339: Property 'screenshot' does not exist on type '{ id: any; date: any; data: any; }'.
scripts/debug-old-trades.ts(31,59): error TS2339: Property 'screenshots' does not exist on type '{ id: any; date: any; data: any; }'.
scripts/debug-old-trades.ts(31,75): error TS2339: Property 'screenshots' does not exist on type '{ id: any; date: any; data: any; }'.
scripts/debug-old-trades.ts(39,115): error TS2339: Property 'substring' does not exist on type 'unknown'.
scripts/debug-preferences.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/dump-legacy.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/list-tables.ts(3,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/sync-local.ts(3,34): error TS2307: Cannot find module 'dukascopy-node' or its corresponding type declarations.
scripts/test-db.ts(2,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/test-discord.ts(1,10): error TS2305: Module '"../services/discord/webhook"' has no exported member 'sendDiscordNotification'.
scripts/test-discord.ts(2,25): error TS2307: Cannot find module 'dotenv' or its corresponding type declarations.
scripts/test-interact.ts(1,27): error TS2307: Cannot find module 'discord-interactions' or its corresponding type declarations.
